Type	Collection	Document	Layer	Feature	Position	start_char	end_char	connective	Flags	Arianna	Mariachiara	Arianna	Mariachiara	check_yesno	check_sense	disagreement_type	example
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	2497-2501 [come]	2497	2501	come	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	2712-2715 [Per]	2712	2715	Per	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	2839-2841 [se]	2839	2841	se	DIFFERENCE, COMPLETE, USED	true	false	CONTINGENCY:Condition	<no label>	*	*	sintassi spezzata	Per molte madri e molti padri può risultare difficile supportare i figli più piccoli durante i collegamenti. A maggior ragioe se questi genitori stanno cercando di portare avanti il loro lavoro in smart-working.
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	2925-2935 [Con questo]	2925	2935	Con questo	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	3002-3009 [Infatti]	3002	3009	Infatti	COMPLETE, USED	true	true	CONTINGENCY:Cause	CONTINGENCY:Cause				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	3451-3457 [In più]	3451	3457	In più	COMPLETE, USED	true	true	EXPANSION:Conjunction	EXPANSION:Conjunction				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	3479-3483 [come]	3479	3483	come	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	3542-3545 [per]	3542	3545	per	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	3586-3592 [invece]	3586	3592	invece	COMPLETE, USED	true	true	COMPARISON:Contrast	COMPARISON:Contrast				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	3723-3724 [e]	3723	3724	e	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	3787-3798 [Concludendo]	3787	3798	Concludendo	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	3800-3808 [anche se]	3800	3808	anche se	COMPLETE, USED	true	true	COMPARISON:Concession	COMPARISON:Concession				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	423-427 [come]	423	427	come	COMPLETE, USED	true	true	EXPANSION:Equivalence	EXPANSION:Instantiation		*	Equ/Inst	Con l'esperienza dad, inizialmente tutti la presero alla leggera, come una sorta di pausa/vacanza dalla scuola
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	491-494 [poi]	491	494	poi	COMPLETE, USED	true	true	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	522-524 [ma]	522	524	ma	COMPLETE, USED	true	true	COMPARISON:Concession	COMPARISON:Contrast		*	Conc/Contr	passa qualche giorno, poi il ritorno alla normalità, ma cosi non è stato
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	660-662 [ma]	660	662	ma	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	730-732 [ma]	730	732	ma	COMPLETE, USED	true	true	COMPARISON:Concession	COMPARISON:Concession				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	902-905 [per]	902	905	per	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	1022-1023 [o]	1022	1023	o	DIFFERENCE, COMPLETE, USED	true	false	EXPANSION:Disjunction	<no label>	*	*	ellissi	Ormai chi non gira con un telefono in mano o non fa ricerche su dispositivi elettronici come tablet o computer?
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	1067-1071 [come]	1067	1071	come	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	1129-1130 [e]	1129	1130	e	DIFFERENCE, COMPLETE, USED	true	false	EXPANSION:Conjunction	<no label>	*	*	conjoined VPs	Sono strumenti che vengono utilizzati e sfruttati tutt'ora
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	1246-1252 [perché]	1246	1252	perché	COMPLETE, USED	true	true	CONTINGENCY:Cause	CONTINGENCY:Cause				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	1279-1283 [solo]	1279	1283	solo	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	1321-1322 [e]	1321	1322	e	DIFFERENCE, COMPLETE, USED	true	false	EXPANSION:Conjunction	<no label>	*	*	ellissi?	vi è il lato positivo e [vi è il lato]? negativo in ogni cosa
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	1346-1348 [Ma]	1346	1348	Ma	COMPLETE, USED	true	true	COMPARISON:Concession	COMPARISON:Concession				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	1464-1466 [se]	1464	1466	se	DIFFERENCE, COMPLETE, USED	true	false	CONTINGENCY:Condition	<no label>	*	*	ellissi	Ma l'uso di questi utensili, a lungo andare, in modo continuo inseparabilmente, porta a molte difficoltà, soprattutto se [queste difficoltà sono] collegate direttamente con un'apprensione a distanza.
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	1594-1598 [come]	1594	1598	come	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	1972-1977 [ossia]	1972	1977	ossia	COMPLETE, USED	true	true	EXPANSION:Equivalence	EXPANSION:Equivalence				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	2163-2168 [anche]	2163	2168	anche	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	2234-2235 [e]	2234	2235	e	DIFFERENCE, COMPLETE, USED	true	false	EXPANSION:Conjunction	<no label>	*	*	conjoined VPs	l'insegnante prende a parlare lampeggiando e subendo difficoltà tecniche
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	2306-2307 [e]	2306	2307	e	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	2389-2393 [cosi]	2389	2393	cosi	INCOMPLETE_POSITION, USED	true	<no annotation>	EXPANSION:Manner	<no annotation>	*	*	Manner?	si figuri pensare ad una lezione in cui, spesso fatta anche da sotto le coperte, l'insegnante prende a parlare, lampeggiando [e: v. sopra] subendo difficoltà tecniche, in cui l'immagine del video e l'audio va e viene, complicazioni ad accendere, a condividere lo schermo e materiale, perdendo [cosi: Manner?] grande fetta del tempo, e, per quel che resta, gli studenti [intanto] si sono riaddormentati. 
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	2418-2419 [e]	2418	2419	e	COMPLETE, USED	true	true	EXPANSION:Conjunction	EXPANSION:Conjunction				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	2421-2424 [per]	2421	2424	per	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	2454-2461 [intanto]	2454	2461	intanto	DIFFERENCE, COMPLETE, USED	true	false	TEMPORAL:Synchronous	<no label>	*	*	why not?	si figuri pensare ad una lezione in cui, spesso fatta anche da sotto le coperte, l'insegnante prende a parlare, lampeggiando e subendo difficoltà tecniche, in cui l'immagine del video e l'audio va e viene, complicazioni ad accendere, a condividere lo schermo e materiale, perdendo cosi  grande fetta del tempo, e, per quel che resta, gli studenti intanto si sono riaddormentati. 
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	2547-2557 [per quanto]	2547	2557	per quanto	COMPLETE, USED	true	true	CONTINGENCY:Cause	COMPARISON:Concession		*		
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	2566-2567 [e]	2566	2567	e	DIFFERENCE, COMPLETE, USED	true	false	EXPANSION:Conjunction	<no label>	*	*	conjoined VPs	I problemi di connessione non sono certamente da trascurare, per quanto abbiano e continuano ad influenzare e disturbare le lezioni, i meeting ecc.
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	2594-2595 [e]	2594	2595	e	DIFFERENCE, COMPLETE, USED	true	false	EXPANSION:Conjunction	<no label>	*	*	conjoined VPs	I problemi di connessione non sono certamente da trascurare, per quanto abbiano e continuano ad influenzare e disturbare le lezioni, i meeting ecc.
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	2648-2656 [oltre ai]	2648	2656	oltre ai	INCOMPLETE_POSITION, USED	true	<no annotation>	EXPANSION:Conjunction	<no annotation>	*	*	no annotation	Tutto questo, oltre ai problemi di socializzazione, essersi chiusi nel proprio mondo [...] ci si abitua alla solitudine.
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	2719-2722 [per]	2719	2722	per	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	2728-2730 [se]	2728	2730	se	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	2810-2811 [e]	2810	2811	e	COMPLETE, USED	true	true	EXPANSION:Conjunction	EXPANSION:Conjunction				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	3062-3065 [per]	3062	3065	per	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	3179-3185 [perché]	3179	3185	perché	COMPLETE, USED	true	true	CONTINGENCY:Cause	CONTINGENCY:Cause				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	3229-3233 [come]	3229	3233	come	COMPLETE, USED	true	true	EXPANSION:Instantiation	EXPANSION:Instantiation				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	3234-3237 [per]	3234	3237	per	COMPLETE, USED	true	true	CONTINGENCY:Cause	EXPANSION:Instantiation		*	Cause/Inst	Può essere visto da un punto di vista positivo degli alunni, perché sotto certi aspetti ritenuti privilegiati	 come per riuscire a copiare durante le verifiche e interrogazioni, sentirsi più protetti nella propria sfera personale.
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	3362-3366 [solo]	3362	3366	solo	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	3513-3514 [e]	3513	3514	e	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	3576-3579 [per]	3576	3579	per	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	3637-3641 [solo]	3637	3641	solo	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	3673-3683 [Nonostante]	3673	3683	Nonostante	COMPLETE, USED	true	true	COMPARISON:Concession	COMPARISON:Concession				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	3780-3781 [e]	3780	3781	e	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	3869-3871 [se]	3869	3871	se	COMPLETE, USED	true	true	CONTINGENCY:Condition	CONTINGENCY:Condition				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	3941-3942 [e]	3941	3942	e	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	4011-4017 [Quindi]	4011	4017	Quindi	COMPLETE, USED	true	true	EXPANSION:Level-of-detail	CONTINGENCY:Cause		*	quindi conclusivo	Quindi, Signor Ministro, non mi biasimi se non dovessi appoggiare la sua idea.
SpanPosition	ITACA-Evaluation	AC20PA_MOH28R.tsv	webanno.custom.Connettivo	Connettivo	4051-4053 [se]	4051	4053	se	COMPLETE, USED	true	true	CONTINGENCY:Condition	CONTINGENCY:Condition				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	459-462 [per]	459	462	per	COMPLETE, USED	true	true	CONTINGENCY:Cause	CONTINGENCY:Cause				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	521-522 [o]	521	522	o	DIFFERENCE, COMPLETE, USED	true	false	EXPANSION:Disjunction	<no label>	*	*	why not?	La maggioranza degli studenti ha in qualche modo fatto esperienza della didattica a distanza durante gli anni scolastici 2020/2021/2022: per una quarantena cautelare, all'interno di uno dei lockdown o perché, sfortunatamente, uno studente ha contratto il covid.
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	523-529 [perché]	523	529	perché	DIFFERENCE, COMPLETE, USED	true	false	CONTINGENCY:Cause	<no label>	*	*	why not?	La maggioranza degli studenti ha in qualche modo fatto esperienza della didattica a distanza durante gli anni scolastici 2020/2021/2022: per una quarantena cautelare, all'interno di uno dei lockdown o perché, sfortunatamente, uno studente ha contratto il covid.
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	691-694 [per]	691	694	per	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	883-887 [come]	883	887	come	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	937-940 [per]	937	940	per	DIFFERENCE, COMPLETE, USED	true	false	CONTINGENCY:Purpose	<no label>	*	*	per + Inf	Avviare permanentemente una didattica digitale integrata ha come presupposto che tutti gli studenti hanno i mezzi per svolgerla efficacemente.
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	992-1000 [Anche se]	992	1000	Anche se	COMPLETE, USED	true	true	COMPARISON:Concession	COMPARISON:Concession				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	1162-1163 [o]	1162	1163	o	COMPLETE, USED	true	true	EXPANSION:Disjunction	EXPANSION:Conjunction		*	Disj/Conj?	Anche se ormai chiunque [...] ha probabilmente uno smartphone, non si può considerare esso uno strumento adatto a svolgere lezioni a distanza, o ad elaborare materiali didattici in una didattica asincrona.
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	1342-1345 [per]	1342	1345	per	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	1403-1404 [e]	1403	1404	e	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	1465-1469 [come]	1465	1469	come	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	1524-1527 [per]	1524	1527	per	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	1553-1554 [e]	1553	1554	e	COMPLETE, USED	true	true	EXPANSION:Conjunction	EXPANSION:Conjunction				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	1608-1624 [allo stesso modo]	1608	1624	allo stesso modo	COMPLETE, USED	true	true	COMPARISON:Similarity	COMPARISON:Similarity				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	1661-1663 [ma]	1661	1663	ma	COMPLETE, USED	true	true	COMPARISON:Concession	COMPARISON:Concession				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	1892-1894 [Se]	1892	1894	Se	COMPLETE, USED	true	true	CONTINGENCY:Condition	CONTINGENCY:Condition				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	1918-1932 [responsabilità]	1918	1932	responsabilità	INCOMPLETE_POSITION, USED	<no annotation>	false	<no annotation>	<no label>	*	*	leftover	Se la scuola si assume la responsabilità di fornire tutti gli studenti con il necessario per svolgere efficacemente la DID
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	1981-1984 [per]	1981	1984	per	DIFFERENCE, COMPLETE, USED	true	false	CONTINGENCY:Purpose	<no label>	*	*	per + Inf	Se la scuola si assume la responsabilità di fornire tutti gli studenti con il necessario per svolgere efficacemente la DID
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	2131-2135 [come]	2131	2135	come	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	2136-2147 [per esempio]	2136	2147	per esempio	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	2201-2205 [Come]	2201	2205	Come	COMPLETE, USED	true	true	COMPARISON:Similarity	EXPANSION:Instantiation		*	Sim/Inst	Come si ha sperimentato durante la dad [...]  molte volte gli orari delle lezioni e altro si andavano a sovrapporre con impegni di studenti
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	2348-2349 [e]	2348	2349	e	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	2448-2449 [e]	2448	2449	e	COMPLETE, USED	true	true	EXPANSION:Conjunction	EXPANSION:Conjunction				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	2482-2485 [per]	2482	2485	per	DIFFERENCE, COMPLETE, USED	true	false	CONTINGENCY:Purpose	<no label>	*	*	per + Inf	creando uno scompiglio generale per capire chi si collegherà
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	2521-2524 [per]	2521	2524	per	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	2689-2692 [per]	2689	2692	per	COMPLETE, USED	true	true	CONTINGENCY:Purpose	CONTINGENCY:Cause		*	Purp/Cause	tutti i rappresentanti delle scuole si sono uniti scrivendo una lettera alla preside per cambiare la modalità e gli orari delle lezioni
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	2741-2743 [Se]	2741	2743	Se	COMPLETE, USED	true	true	CONTINGENCY:Condition	CONTINGENCY:Condition				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	2898-2899 [e]	2898	2899	e	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	3202-3218 [come conseguenza]	3202	3218	come conseguenza	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	3323-3324 [e]	3323	3324	e	DIFFERENCE, COMPLETE, USED	true	false	EXPANSION:Conjunction	<no label>	*	*	conjoined VPs	è stato dimostrato che va a diminuire il vocabolario e favorisce l'apparire di psicopatie sociali.
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	3421-3422 [e]	3421	3422	e	COMPLETE, USED	true	true	EXPANSION:Conjunction	EXPANSION:Conjunction				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	3423-3427 [anzi]	3423	3427	anzi	COMPLETE, USED	true	true	EXPANSION:Conjunction	EXPANSION:Conjunction				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	3477-3482 [Anche]	3477	3482	Anche	DIFFERENCE, COMPLETE, USED	false	true	<no label>	EXPANSION:Conjunction	*	*	adv scope	Anche nell'aspetto umano vengono segnalati, da parte dei genitori, scarsa concentrazione, problemi di stanchezza [...]
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	3617-3618 [e]	3617	3618	e	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	3659-3669 [Oltretutto]	3659	3669	Oltretutto	COMPLETE, USED	true	true	EXPANSION:Conjunction	EXPANSION:Conjunction				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	3670-3673 [per]	3670	3673	per	DIFFERENCE, COMPLETE, USED	true	false	CONTINGENCY:Purpose	<no label>	*	*	per + Inf	Oltretutto per aprire il proprio social prediletto, durante la DID, bastano due click.
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	3829-3833 [come]	3829	3833	come	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AL07BN_BAS27F.tsv	webanno.custom.Connettivo	Connettivo	4090-4094 [come]	4090	4094	come	COMPLETE, USED	false	false	<no label>	<no label>				
